buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	189963	-288824.7393777696
2025-01-01	2025-03-01	186421	-391956.33180482086
2025-01-01	2025-04-01	183010	-432715.89016120165
2025-01-01	2025-05-01	179721	-500027.3780431761
2025-01-01	2025-06-01	176548	-552444.2391157044
2025-01-01	2025-07-01	173485	-540777.9959237173
2025-01-01	2025-08-01	170526	-515422.4909822496
2025-01-01	2025-09-01	167667	-466205.2594520632
2025-01-01	2025-10-01	164902	-480827.69593686576
2025-01-01	2025-11-01	162227	-389009.62573069916
2025-01-01	2025-12-01	159637	-338227.26265966956
2025-02-01	2025-03-01	224229	-268644.1490841324
2025-02-01	2025-04-01	219311	-320190.71971595706
2025-02-01	2025-05-01	214604	-402980.94929559436
2025-02-01	2025-06-01	210096	-467398.6742839235
2025-02-01	2025-07-01	205772	-455310.02092376415
2025-02-01	2025-08-01	201624	-427058.01284160936
2025-02-01	2025-09-01	197639	-370788.355229397
2025-02-01	2025-10-01	193808	-389822.5714243009
2025-02-01	2025-11-01	190123	-283944.933360246
2025-02-01	2025-12-01	186576	-226554.2965962674
2025-03-01	2025-04-01	254838	-210065.63509180688
2025-03-01	2025-05-01	248505	-308671.6230775537
2025-03-01	2025-06-01	242480	-385304.7659937076
2025-03-01	2025-07-01	236739	-373341.55384498
2025-03-01	2025-08-01	231264	-342829.6570239404
2025-03-01	2025-09-01	226037	-280379.62241853616
2025-03-01	2025-10-01	221040	-304087.17318249936
2025-03-01	2025-11-01	216260	-185509.10403527442
2025-03-01	2025-12-01	211682	-122479.0435711691
2025-04-01	2025-05-01	267082	-256991.50789631536
2025-04-01	2025-06-01	260135	-340548.41182282584
2025-04-01	2025-07-01	253539	-328871.19099968113
2025-04-01	2025-08-01	247270	-297347.6249180779
2025-04-01	2025-09-01	241303	-231776.32939254888
2025-04-01	2025-10-01	235618	-258194.02703714868
2025-04-01	2025-11-01	230194	-133031.65904562466
2025-04-01	2025-12-01	225014	-67212.67144718062
2025-05-01	2025-06-01	294894	-252431.16792557167
2025-05-01	2025-07-01	286447	-241763.3601634547
2025-05-01	2025-08-01	278470	-208687.26956592212
2025-05-01	2025-09-01	270926	-137469.0693953242
2025-05-01	2025-10-01	263779	-169530.9829199142
2025-05-01	2025-11-01	257000	-32072.48741793098
2025-05-01	2025-12-01	250561	38689.37284886232
2025-06-01	2025-07-01	320851	-150694.52538857184
2025-06-01	2025-08-01	310877	-116600.85549421002
2025-06-01	2025-09-01	301504	-40120.69940884456
2025-06-01	2025-10-01	292679	-78544.76714762607
2025-06-01	2025-11-01	284357	70958.52351952484
2025-06-01	2025-12-01	276494	146195.35570970387
2025-07-01	2025-08-01	308532	-123262.91747798603
2025-07-01	2025-09-01	299298	-47143.0416748379
2025-07-01	2025-10-01	290600	-85090.11844024977
2025-07-01	2025-11-01	282394	63565.97745089362
2025-07-01	2025-12-01	274638	138500.88668914535
2025-08-01	2025-09-01	289237	-79174.29025165955
2025-08-01	2025-10-01	281106	-114981.16408755435
2025-08-01	2025-11-01	273420	29768.280110878066
2025-08-01	2025-12-01	266143	103284.90449679318
2025-09-01	2025-10-01	260594	-179558.05780617704
2025-09-01	2025-11-01	253976	-43462.55118213352
2025-09-01	2025-12-01	247685	26769.321264838705
2025-10-01	2025-11-01	263285	-8401.53483197206
2025-10-01	2025-12-01	256531	63439.1528683157
2025-11-01	2025-12-01	222979	-75648.98078054367
