recipe_slug	score_bound
falafel	2.248780283554376
spamburger	2.3892828770822434
bacon-fried-rice	1.9245465960833739
chicken-fingers	2.055407938045346
apple-crisp	2.5181128685863152
cranberry-apple-crisp	2.56228079242657
bacon-chocolate-chip-cookies	2.667154488850391
sujebi	2.3064667910985786
pasta-primavera	2.120653405703819
ramen	2.399519702625661
brownies	2.725242012256442
bacon-wrapped-scallops	2.28281035897128
bacon-egg-muffins	2.2647150694464018
breakfast-burritos	2.290228901396063
bolognese-sauce	2.223406174629612
croissants	2.319208564332151
bacon-souffle	2.0199331468682646
souffle	2.2620744589739683
chocolate-souffle	2.513941660073267
butter-croissants	2.092947143289337
pickled-green-beans	2.296293023442613
fried-oysters	2.258354464406035
peanut-butter-brownies	2.63019779581486
almond-chip-cookies	2.662469265613031
guacamole	2.3547757946110153
brioche-bread	2.311044821852877
brioche-bread-with-chocolate	2.6598542996233223
asparagus-quiche	2.263284135284216
asparagus-burger	2.3574385790562533
ma-la-chicken	2.131330070898337
cold-noodles-with-tomatoes	1.9197077192158953
tamales	2.3634224747852395
enchiladas	2.277980035925626
tacos	2.33761895887155
burritos	2.233017632632794
peanut-butter-cupcakes	2.7370841883868295
pickled-asparagus	2.256261575647029
chocolate-peanut-butter-cake	2.6930381522181355
udon	2.260365931464613
vegetable-lasagna	1.8557180247404903
maple-bacon-donuts	2.3183701598557622
maple-bacon-pancakes	2.6063504153649544
spinach-and-ricotta-stuffed-shells	1.7366128756550978
quesadillas	2.360702922438149
pico-de-gallo	2.25420234417873
nachos	2.3012789014677786
cold-soba-noodles-with-tomato-and-cucumber	2.2441209128510398
fajitas	2.336144764895328
loaded-nachos	2.2859082892062648
lasagna	2.1204415724034025
chicken-nuggets	2.1108225881530585
pain-au-chocolat	2.4016574415124268
nacho-dip	2.2458120797802428
nacho-salad	1.870256854174548
nacho-casserole	2.2242466095878775
nacho-fries	2.3172091253456752
tempura-udon	2.277526302941906
peach-crisp	1.8715898756264202
apple-pie	2.826073808277318
blueberry-crisp	2.2809930755565353
berry-crumble	2.2235583023203724
strawberry-rhubarb-crisp	2.5878131776297337
peach-cobbler	2.16588201622947
cranberry-sauce	2.523867953525383
cherry-cobbler	2.259272960760722
apple-crumble	2.627413725335985
chocolate-croissants	2.5607409352554997
french-toast	2.2266981160763835
chocolate-babka	2.842250600608107
cinnamon-babka	2.186658732192809
blueberry-crumble	2.352108818364306
spam-musubi	2.3487337606496204
taco-salad	1.8715529360895231
chiles-rellenos	2.2653798840911783
almond-croissants	2.226671771058138
cranberry-relish	2.523867953525383
ma-la-beef	2.0914992942151014
chocolate-cake	2.668033476329789
spinach-quiche	1.800154143054642
mushroom-quiche	2.3260695578791957
quiche-lorraine	2.309327288224625
croissant-aux-amandes	2.320367098818743
danishes	2.296707758324856
spinach-and-feta-quiche	1.8061433687259754
cold-sesame-noodles	2.2704779428863304
soba-noodle-salad-with-peanut-dressing	1.8530579947952217
dan-dan-noodles	2.355445398003273
vanilla-souffle	2.33286714355034
bacon-wrapped-dates	2.2367335343774344
cherry-pie	2.6427313554160357
berry-crisp	2.3634732131438208
bacon-and-egg-breakfast-sandwich	2.26107890042872
bacon-wrapped-shrimp-skewers	2.3247848264518183
bacon-wrapped-chicken	2.111788746851341
bacon-wrapped-asparagus	2.312267087045849
bacon-mac-and-cheese	2.3076484575099543
chicken-alfredo-lasagna	2.0398585568165117
classic-beef-lasagna	2.0113311298719005
vegetarian-mushroom-lasagna	2.023802562200667
spinach-and-ricotta-lasagna	1.769046735690777
