recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.75
ma-la-chicken	7.242588778272628	0.25
quesadillas	7.195355222903414	0.5
ramen	7.204248364505396	0.5
pain-au-chocolat	6.966547790703293	0.5
spamburger	6.956410954301104	0.5
chocolate-babka	6.95834931087337	1.0
bacon-fried-rice	6.9639377873801065	0.0
nacho-fries	6.750720746747795	0.5
cranberry-sauce	6.692979321180918	0.75
asparagus-burger	6.60880396774156	0.5
strawberry-rhubarb-crisp	6.516299765412734	0.75
apple-pie	6.407726639159812	1.0
asparagus-quiche	6.402933605312528	0.5
guacamole	6.316550164701093	0.5
bacon-wrapped-asparagus	6.2914338693134075	0.5
brioche-bread	6.233375302010094	0.5
cold-noodles-with-tomatoes	6.183888658932472	0.0
tamales	6.124843985411221	0.5
apple-crisp	6.0648340132975935	0.75
taco-salad	5.997801484290098	0.0
mushroom-quiche	5.998081450016565	0.5
dan-dan-noodles	5.978065963329184	0.5
chicken-nuggets	5.91595395416779	0.25
bacon-wrapped-chicken	5.761638505420411	0.25
croissants	5.662229906324256	0.5
cranberry-apple-crisp	5.65720078680759	0.75
spam-musubi	5.630063133711579	0.5
bacon-mac-and-cheese	5.6279495905505765	0.5
chocolate-peanut-butter-cake	5.5954386887003995	1.0
fajitas	5.594187168955106	0.5
tacos	5.5609764640656	0.5
bacon-wrapped-shrimp-skewers	5.469808695853868	0.5
croissant-aux-amandes	5.427479936579026	0.5
sujebi	5.381870613332313	0.5
souffle	5.381686032790305	0.5
cherry-pie	5.355352522505116	1.0
danishes	5.325845232806884	0.5
spinach-and-ricotta-lasagna	5.223894844074438	0.0
breakfast-burritos	5.216608181795296	0.5
vanilla-souffle	5.198770235950506	0.5
nacho-salad	5.1679661226124916	0.0
enchiladas	5.154015511076369	0.5
quiche-lorraine	5.147136634006364	0.5
nachos	5.128488313551931	0.5
brownies	5.115573972173594	1.0
brioche-bread-with-chocolate	5.0625099659562816	1.0
loaded-nachos	5.022603273062469	0.5
cold-soba-noodles-with-tomato-and-cucumber	5.00999274919871	0.5
peanut-butter-cupcakes	4.973550724117431	1.0
peach-crisp	4.892497715335136	0.0
udon	4.794411673654436	0.5
pickled-green-beans	4.784868795192178	0.5
bacon-egg-muffins	4.774832747911052	0.5
ma-la-beef	4.737264696297679	0.25
cranberry-relish	4.729103157313204	0.75
spinach-and-feta-quiche	4.719347402308232	0.0
bacon-wrapped-scallops	4.68977618275702	0.5
bolognese-sauce	4.616760973729003	0.5
chiles-rellenos	4.605913788517206	0.5
maple-bacon-donuts	4.602336168743532	0.5
tempura-udon	4.5902190118354556	0.5
almond-chip-cookies	4.555451177233878	1.0
chicken-fingers	4.530300790230023	0.25
almond-croissants	4.505999580414354	0.5
cold-sesame-noodles	4.498366106489356	0.5
falafel	4.44418512006076	0.5
burritos	4.410768313118336	0.5
bacon-and-egg-breakfast-sandwich	4.4041135564053775	0.5
soba-noodle-salad-with-peanut-dressing	4.379199993217015	0.0
chicken-alfredo-lasagna	4.374211971494262	0.25
fried-oysters	4.33477214077667	0.5
pico-de-gallo	4.2565722825048855	0.5
cherry-cobbler	4.253849335241289	0.5
bacon-wrapped-dates	4.215592391137115	0.5
pickled-asparagus	4.208681661176455	0.5
bacon-chocolate-chip-cookies	4.188979433494937	1.0
maple-bacon-pancakes	4.119037755388444	1.0
nacho-casserole	4.096244662148356	0.5
nacho-dip	4.075973104060235	0.5
chocolate-cake	4.07154653229919	1.0
french-toast	4.051111396909549	0.5
berry-crisp	4.001000070707165	0.75
classic-beef-lasagna	3.996962504658555	0.25
chocolate-croissants	3.9951316517810245	1.0
spinach-quiche	3.9791795343084413	0.0
peanut-butter-brownies	3.8974760569311337	1.0
blueberry-crumble	3.874557379164283	0.75
peach-cobbler	3.736929505948646	0.5
pasta-primavera	3.71934484053091	0.5
lasagna	3.544733080824271	0.5
cinnamon-babka	3.496986591293074	0.5
chocolate-souffle	3.381735624151278	1.0
blueberry-crisp	3.2829032765943897	0.75
vegetarian-mushroom-lasagna	3.162169230839388	0.5
spinach-and-ricotta-stuffed-shells	3.059055210369867	0.0
butter-croissants	3.041658492673081	0.5
berry-crumble	2.9642233443142905	0.75
bacon-souffle	2.88664819535923	0.5
chocolate-babka	2.842344266193349	1.0
