curr_state	curr_action	next_reward	next_state
1990	-1	0	1981
1981	0	0	1845
1845	1	0	1710
1710	-1	0	1701
1701	1	0	1566
1566	-1	0	1557
1557	1	0	1422
1422	0	0	1414
1414	1	0	1415
1415	-1	0	1542
1542	0	0	1542
1542	0	0	1542
1542	1	0	1543
1543	-1	0	1670
1670	1	0	1671
1671	-1	0	1798
1798	1	0	1799
1799	0	0	1927
1927	-1	0	1926
1926	1	0	1927
1927	0	0	1927
1927	-1	0	1926
1926	-1	0	1925
1925	0	0	1797
1797	-1	0	1668
1668	1	0	1541
1541	-1	0	1412
1412	0	0	1284
1284	-1	0	1155
1155	0	0	1035
1035	-1	0	914
914	0	0	922
